"","ID","Overall.Rating","Program.Expenses","Administrative.Expenses","Fundraising.Expenses","Fundraising.Efficiency","Working.Capital.Ratio..years.","Program.Expenses.Growth","Liabilities.to.Assets","Independent.Voting.Board.Members","No.Material.diversion.of.assets","Audited.financials.prepared.by.independent.accountant","Does.Not.Provide.Loan.s..to.or.Receive.Loan.s..From.related.parties","Documents.Board.Meeting.Minutes","Provided.copy.of.Form.990.to.organization.s.governing.body.in.advance.of.filing","Conflict.of.Interest.Policy","Whistleblower.Policy","Records.Retention.and.Destruction.Policy","CEO.listed.with.salary","Process.for.determining.CEO.compensation","Board.Listed...Board.Members.Not.Compensated","Donor.Privacy.Policy","Board.Members.Listed","Audited.Financials","Form.990","Key.staff.listed","reg_prediction","reg_error"
"58",66,84.51,0.731,0.078,0.189,0.15,3.06,0.111,0.098,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,80.7426666036898,3.76733339631019
"59",67,78.51,0.844,0.073,0.082,0.09,0.02,-0.072,0.691,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,72.9123289169401,5.59767108305991
"60",68,84.21,0.807,0.142,0.049,0.04,0.38,0.03,0.427,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,85.9154476628113,-1.70544766281131
"61",69,90.34,0.781,0.092,0.126,0.15,0.42,0.063,0.06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,90.2473610853227,0.092638914677309
"62",70,76.11,0.69,0.248,0.06,0.07,0.21,0.028,0.234,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,78.1999144978656,-2.08991449786562
"63",72,86.81,0.929,0.016,0.053,0.05,0.4,0.014,0.274,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,93.8939601722435,-7.08396017224347
"64",73,95.85,0.849,0.06,0.09,0.08,0.64,0.11,0.185,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,91.8706694238847,3.97933057611529
"65",75,89.73,0.826,0.119,0.053,0.05,0.18,0.042,0.134,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,92.5206577213635,-2.79065772136353
"66",76,90.77,0.831,0.094,0.073,0.1,1.8,-0.188,0.032,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,89.9968909596789,0.773109040321145
"67",77,92.44,0.826,0.063,0.11,0.12,0.56,0.25,0.082,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,94.5742531217413,-2.13425312174132
"68",78,57.3,0.557,0.114,0.327,0.39,0.33,-0.099,0.086,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,56.8848324694498,0.415167530550242
"69",79,91.9,0.852,0.068,0.078,0.08,1.55,0.048,0.015,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,90.3805668411169,1.51943315888312
"70",81,90.63,0.847,0.053,0.098,0.12,1.34,0.027,0.442,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,87.8204289821255,2.80957101787446
"71",82,62.56,0.938,0.013,0.048,0.24,0.27,0.031,0.178,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,69.825712377814,-7.26571237781404
"72",83,89.8,0.822,0.132,0.044,0.11,1.4,0.018,0.163,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,88.830659232824,0.969340767176021
"73",84,95.27,0.767,0.123,0.109,0.08,6.27,0.082,0.018,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,92.6964168086631,2.57358319133688
"74",85,63.24,0.455,0.392,0.151,0.17,4.61,0.075,0.63,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,59.2906080050683,3.94939199493169
"75",86,96.66,0.867,0.037,0.095,0.07,2.69,0.096,0.13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,92.6249409315817,4.03505906841829
"76",87,91.27,0.773,0.12,0.105,0.11,2.83,0.025,0.111,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,89.1402361116626,2.12976388833741
